datetime,lake,variable,unit,ThermoclineDepth,type,concentration_mg_per_L
5/10/99,Mendota,tp,MilliGM-PER-L,13.80629455,hypo,0.126359305
6/7/99,Mendota,tp,MilliGM-PER-L,13.13850882,all,0.127740997
6/7/99,Mendota,tp,MilliGM-PER-L,13.13850882,epi,0.117025352
6/7/99,Mendota,tp,MilliGM-PER-L,13.13850882,hypo,0.165379341
7/6/99,Mendota,tp,MilliGM-PER-L,13.91547578,all,0.134750863
7/6/99,Mendota,tp,MilliGM-PER-L,13.91547578,epi,0.090763722
7/6/99,Mendota,tp,MilliGM-PER-L,13.91547578,hypo,0.28925423
8/2/99,Mendota,tp,MilliGM-PER-L,13.96236256,all,0.147553034
8/2/99,Mendota,tp,MilliGM-PER-L,13.96236256,epi,0.076568386
8/2/99,Mendota,tp,MilliGM-PER-L,13.96236256,hypo,0.396884239
8/30/99,Mendota,tp,MilliGM-PER-L,15.04487047,all,0.131167144
8/30/99,Mendota,tp,MilliGM-PER-L,15.04487047,epi,0.055578581
8/30/99,Mendota,tp,MilliGM-PER-L,15.04487047,hypo,0.557603539
9/27/99,Mendota,tp,MilliGM-PER-L,17.5,all,0.26468293
9/27/99,Mendota,tp,MilliGM-PER-L,17.5,epi,0.223337775
9/27/99,Mendota,tp,MilliGM-PER-L,17.5,hypo,0.69205495
10/26/99,Mendota,tp,MilliGM-PER-L,17.5,all,0.13395111
10/26/99,Mendota,tp,MilliGM-PER-L,17.5,epi,0.134215669
10/26/99,Mendota,tp,MilliGM-PER-L,17.5,hypo,0.131216443
11/22/99,Mendota,tp,MilliGM-PER-L,17.5,all,0.115307548
11/22/99,Mendota,tp,MilliGM-PER-L,17.5,epi,0.115245793
11/22/99,Mendota,tp,MilliGM-PER-L,17.5,hypo,0.115945889
1/24/00,Mendota,tp,MilliGM-PER-L,0,all,0.113047065
3/13/00,Mendota,tp,MilliGM-PER-L,0,all,0.113419092
4/10/00,Mendota,tp,MilliGM-PER-L,0,all,0.096678161
5/9/00,Mendota,tp,MilliGM-PER-L,10.68858256,all,0.076987765
5/9/00,Mendota,tp,MilliGM-PER-L,10.68858256,epi,0.069143613
5/9/00,Mendota,tp,MilliGM-PER-L,10.68858256,hypo,0.091728977
6/6/00,Mendota,tp,MilliGM-PER-L,15.90573372,all,0.098835027
6/6/00,Mendota,tp,MilliGM-PER-L,15.90573372,epi,0.093638402
6/6/00,Mendota,tp,MilliGM-PER-L,15.90573372,hypo,0.128152031
7/3/00,Mendota,tp,MilliGM-PER-L,15.58018214,all,0.117025752
7/3/00,Mendota,tp,MilliGM-PER-L,15.58018214,epi,0.097190614
7/3/00,Mendota,tp,MilliGM-PER-L,15.58018214,hypo,0.228926606
7/31/00,Mendota,tp,MilliGM-PER-L,15.09301209,all,0.128922102
7/31/00,Mendota,tp,MilliGM-PER-L,15.09301209,epi,0.084041352
7/31/00,Mendota,tp,MilliGM-PER-L,15.09301209,hypo,0.382118938
8/28/00,Mendota,tp,MilliGM-PER-L,14.39663132,all,0.184449679
8/28/00,Mendota,tp,MilliGM-PER-L,14.39663132,epi,0.118120201
8/28/00,Mendota,tp,MilliGM-PER-L,14.39663132,hypo,0.476080405
9/25/00,Mendota,tp,MilliGM-PER-L,17.5,all,0.194640733
9/25/00,Mendota,tp,MilliGM-PER-L,17.5,epi,0.160227338
9/25/00,Mendota,tp,MilliGM-PER-L,17.5,hypo,0.550361298
10/24/00,Mendota,tp,MilliGM-PER-L,17.5,all,0.156769018
10/24/00,Mendota,tp,MilliGM-PER-L,17.5,epi,0.152119129
10/24/00,Mendota,tp,MilliGM-PER-L,17.5,hypo,0.204833473
11/28/00,Mendota,tp,MilliGM-PER-L,0,all,0.137307548
1/17/01,Mendota,tp,MilliGM-PER-L,0,all,0.147268229
3/7/01,Mendota,tp,MilliGM-PER-L,0,all,0.145620375
4/23/01,Mendota,tp,MilliGM-PER-L,0,all,0.092414948
5/7/01,Mendota,tp,MilliGM-PER-L,13.31632761,all,0.095124026
5/7/01,Mendota,tp,MilliGM-PER-L,13.31632761,epi,0.090482127
5/7/01,Mendota,tp,MilliGM-PER-L,13.31632761,hypo,0.11142854
6/4/01,Mendota,tp,MilliGM-PER-L,16.26051697,all,0.110568969
6/4/01,Mendota,tp,MilliGM-PER-L,16.26051697,epi,0.100741916
6/4/01,Mendota,tp,MilliGM-PER-L,16.26051697,hypo,0.18387813
6/18/01,Mendota,tp,MilliGM-PER-L,14.37979188,all,0.090181302
6/18/01,Mendota,tp,MilliGM-PER-L,14.37979188,epi,0.090222538
6/18/01,Mendota,tp,MilliGM-PER-L,14.37979188,hypo,0.09
7/2/01,Mendota,tp,MilliGM-PER-L,14.94521545,all,0.131523187
7/2/01,Mendota,tp,MilliGM-PER-L,14.94521545,epi,0.096891183
7/2/01,Mendota,tp,MilliGM-PER-L,14.94521545,hypo,0.28378967
7/16/01,Mendota,tp,MilliGM-PER-L,14.06780333,all,0.024362605
7/16/01,Mendota,tp,MilliGM-PER-L,14.06780333,epi,0.024445077
7/16/01,Mendota,tp,MilliGM-PER-L,14.06780333,hypo,0.024
7/30/01,Mendota,tp,MilliGM-PER-L,13.56300168,all,0.139395264
7/30/01,Mendota,tp,MilliGM-PER-L,13.56300168,epi,0.07519242
7/30/01,Mendota,tp,MilliGM-PER-L,13.56300168,hypo,0.36490561
8/27/01,Mendota,tp,MilliGM-PER-L,14.92869468,all,0.143107696
8/27/01,Mendota,tp,MilliGM-PER-L,14.92869468,epi,0.064662165
8/27/01,Mendota,tp,MilliGM-PER-L,14.92869468,hypo,0.488009052
9/26/01,Mendota,tp,MilliGM-PER-L,17.5,all,0.210505739
9/26/01,Mendota,tp,MilliGM-PER-L,17.5,epi,0.173405872
9/26/01,Mendota,tp,MilliGM-PER-L,17.5,hypo,0.593995526
10/22/01,Mendota,tp,MilliGM-PER-L,17.5,all,0.149279082
10/22/01,Mendota,tp,MilliGM-PER-L,17.5,epi,0.148767504
10/22/01,Mendota,tp,MilliGM-PER-L,17.5,hypo,0.154567114
11/26/01,Mendota,tp,MilliGM-PER-L,17.5,all,0.134769808
11/26/01,Mendota,tp,MilliGM-PER-L,17.5,epi,0.135016827
11/26/01,Mendota,tp,MilliGM-PER-L,17.5,hypo,0.132216443
3/28/02,Mendota,tp,MilliGM-PER-L,0,all,0.104297977
4/24/02,Mendota,tp,MilliGM-PER-L,0,all,0.076281746
5/20/02,Mendota,tp,MilliGM-PER-L,16.59493702,all,0.095106315
5/20/02,Mendota,tp,MilliGM-PER-L,16.59493702,epi,0.094544646
5/20/02,Mendota,tp,MilliGM-PER-L,16.59493702,hypo,0.099296327
6/3/02,Mendota,tp,MilliGM-PER-L,14.03772189,all,0.080818698
6/3/02,Mendota,tp,MilliGM-PER-L,14.03772189,epi,0.080777462
6/3/02,Mendota,tp,MilliGM-PER-L,14.03772189,hypo,0.081
6/18/02,Mendota,tp,MilliGM-PER-L,15.24969275,all,0.098406512
6/18/02,Mendota,tp,MilliGM-PER-L,15.24969275,epi,0.088054826
6/18/02,Mendota,tp,MilliGM-PER-L,15.24969275,hypo,0.156806029
7/15/02,Mendota,tp,MilliGM-PER-L,14.60297643,all,0.110651455
7/15/02,Mendota,tp,MilliGM-PER-L,14.60297643,epi,0.072627649
7/15/02,Mendota,tp,MilliGM-PER-L,14.60297643,hypo,0.277830671
8/12/02,Mendota,tp,MilliGM-PER-L,15.15888743,all,0.098739862
8/12/02,Mendota,tp,MilliGM-PER-L,15.15888743,epi,0.054536009
8/12/02,Mendota,tp,MilliGM-PER-L,15.15888743,hypo,0.348117955
9/23/02,Mendota,tp,MilliGM-PER-L,17.3063121,all,0.145725489
9/23/02,Mendota,tp,MilliGM-PER-L,17.3063121,epi,0.107117231
9/23/02,Mendota,tp,MilliGM-PER-L,17.3063121,hypo,0.544807047
10/21/02,Mendota,tp,MilliGM-PER-L,17.5,all,0.118409176
10/21/02,Mendota,tp,MilliGM-PER-L,17.5,epi,0.119525917
10/21/02,Mendota,tp,MilliGM-PER-L,17.5,hypo,0.106865772
11/18/02,Mendota,tp,MilliGM-PER-L,0,all,0.10139972
1/21/03,Mendota,tp,MilliGM-PER-L,0,all,0.088894228
4/14/03,Mendota,tp,MilliGM-PER-L,0,all,0.081374445
5/13/03,Mendota,tp,MilliGM-PER-L,14.48318297,all,0.061716132
5/13/03,Mendota,tp,MilliGM-PER-L,14.48318297,epi,0.062392621
5/13/03,Mendota,tp,MilliGM-PER-L,14.48318297,hypo,0.058741813
6/9/03,Mendota,tp,MilliGM-PER-L,14.52727695,all,0.058436852
6/9/03,Mendota,tp,MilliGM-PER-L,14.52727695,epi,0.045498668
6/9/03,Mendota,tp,MilliGM-PER-L,14.52727695,hypo,0.115322151
7/7/03,Mendota,tp,MilliGM-PER-L,12.61741226,all,0.085767637
7/7/03,Mendota,tp,MilliGM-PER-L,12.61741226,epi,0.037450007
7/7/03,Mendota,tp,MilliGM-PER-L,12.61741226,hypo,0.222661498
8/4/03,Mendota,tp,MilliGM-PER-L,14.99267967,all,0.10174519
8/4/03,Mendota,tp,MilliGM-PER-L,14.99267967,epi,0.048628497
8/4/03,Mendota,tp,MilliGM-PER-L,14.99267967,hypo,0.33528328
9/2/03,Mendota,tp,MilliGM-PER-L,16.18730554,all,0.169652097
9/2/03,Mendota,tp,MilliGM-PER-L,16.18730554,epi,0.128666121
9/2/03,Mendota,tp,MilliGM-PER-L,16.18730554,hypo,0.475404737
9/29/03,Mendota,tp,MilliGM-PER-L,17.5,all,0.215293833
9/29/03,Mendota,tp,MilliGM-PER-L,17.5,epi,0.180976382
9/29/03,Mendota,tp,MilliGM-PER-L,17.5,hypo,0.570022651
10/27/03,Mendota,tp,MilliGM-PER-L,17.5,all,0.129686285
10/27/03,Mendota,tp,MilliGM-PER-L,17.5,epi,0.129386646
10/27/03,Mendota,tp,MilliGM-PER-L,17.5,hypo,0.132783557
11/25/03,Mendota,tp,MilliGM-PER-L,0,all,0.120588505
2/3/04,Mendota,tp,MilliGM-PER-L,0,all,0.103886778
4/12/04,Mendota,tp,MilliGM-PER-L,0,all,0.087759349
4/28/04,Mendota,tp,MilliGM-PER-L,16.76611569,all,0.067637395
4/28/04,Mendota,tp,MilliGM-PER-L,16.76611569,epi,0.067588788
4/28/04,Mendota,tp,MilliGM-PER-L,16.76611569,hypo,0.068
5/10/04,Mendota,tp,MilliGM-PER-L,11.67685276,all,0.082696251
5/10/04,Mendota,tp,MilliGM-PER-L,11.67685276,epi,0.079620102
5/10/04,Mendota,tp,MilliGM-PER-L,11.67685276,hypo,0.08978865
6/7/04,Mendota,tp,MilliGM-PER-L,14.80386835,all,0.088911051
6/7/04,Mendota,tp,MilliGM-PER-L,14.80386835,epi,0.079662408
6/7/04,Mendota,tp,MilliGM-PER-L,14.80386835,hypo,0.129574547
7/6/04,Mendota,tp,MilliGM-PER-L,15.09089894,all,0.068945141
7/6/04,Mendota,tp,MilliGM-PER-L,15.09089894,epi,0.052856662
7/6/04,Mendota,tp,MilliGM-PER-L,15.09089894,hypo,0.159709043
8/3/04,Mendota,tp,MilliGM-PER-L,14.49654487,all,0.104925999
8/3/04,Mendota,tp,MilliGM-PER-L,14.49654487,epi,0.052381616
8/3/04,Mendota,tp,MilliGM-PER-L,14.49654487,hypo,0.335947817
9/7/04,Mendota,tp,MilliGM-PER-L,15.45792856,all,0.133958543
9/7/04,Mendota,tp,MilliGM-PER-L,15.45792856,epi,0.076408758
9/7/04,Mendota,tp,MilliGM-PER-L,15.45792856,hypo,0.458628331
10/5/04,Mendota,tp,MilliGM-PER-L,17.5,all,0.216276616
10/5/04,Mendota,tp,MilliGM-PER-L,17.5,epi,0.186326223
10/5/04,Mendota,tp,MilliGM-PER-L,17.5,hypo,0.525864513
11/3/04,Mendota,tp,MilliGM-PER-L,17.5,all,0.121918352
11/3/04,Mendota,tp,MilliGM-PER-L,17.5,epi,0.122174508
11/3/04,Mendota,tp,MilliGM-PER-L,17.5,hypo,0.119270554
1/31/05,Mendota,tp,MilliGM-PER-L,0,all,0.11903631
4/15/05,Mendota,tp,MilliGM-PER-L,0,all,0.14372812
5/9/05,Mendota,tp,MilliGM-PER-L,11.07210041,all,0.1412222
5/9/05,Mendota,tp,MilliGM-PER-L,11.07210041,epi,0.150677182
5/9/05,Mendota,tp,MilliGM-PER-L,11.07210041,hypo,0.119422701
6/6/05,Mendota,tp,MilliGM-PER-L,13.25978388,all,0.105161963
6/6/05,Mendota,tp,MilliGM-PER-L,13.25978388,epi,0.093856192
6/6/05,Mendota,tp,MilliGM-PER-L,13.25978388,hypo,0.144873108
7/5/05,Mendota,tp,MilliGM-PER-L,15.53157886,all,0.120945979
7/5/05,Mendota,tp,MilliGM-PER-L,15.53157886,epi,0.089651353
7/5/05,Mendota,tp,MilliGM-PER-L,15.53157886,hypo,0.297496068
8/1/05,Mendota,tp,MilliGM-PER-L,15.17159702,all,0.137010557
8/1/05,Mendota,tp,MilliGM-PER-L,15.17159702,epi,0.087548147
8/1/05,Mendota,tp,MilliGM-PER-L,15.17159702,hypo,0.416055046
8/29/05,Mendota,tp,MilliGM-PER-L,16.17288725,all,0.144928712
8/29/05,Mendota,tp,MilliGM-PER-L,16.17288725,epi,0.091737887
8/29/05,Mendota,tp,MilliGM-PER-L,16.17288725,hypo,0.541728715
9/26/05,Mendota,tp,MilliGM-PER-L,17.32521608,all,0.22931776
9/26/05,Mendota,tp,MilliGM-PER-L,17.32521608,epi,0.188947598
9/26/05,Mendota,tp,MilliGM-PER-L,17.32521608,hypo,0.646611577
11/2/05,Mendota,tp,MilliGM-PER-L,17.5,all,0.159121954
11/2/05,Mendota,tp,MilliGM-PER-L,17.5,epi,0.159484079
11/2/05,Mendota,tp,MilliGM-PER-L,17.5,hypo,0.155378775
11/30/05,Mendota,tp,MilliGM-PER-L,0,all,0.156867588
4/17/06,Mendota,tp,MilliGM-PER-L,0,all,0.136509373
5/15/06,Mendota,tp,MilliGM-PER-L,17.5,all,0.126552491
5/15/06,Mendota,tp,MilliGM-PER-L,17.5,epi,0.12572227
5/15/06,Mendota,tp,MilliGM-PER-L,17.5,hypo,0.135134228
6/12/06,Mendota,tp,MilliGM-PER-L,15.14325172,all,0.126552343
6/12/06,Mendota,tp,MilliGM-PER-L,15.14325172,epi,0.109406784
6/12/06,Mendota,tp,MilliGM-PER-L,15.14325172,hypo,0.223279817
7/10/06,Mendota,tp,MilliGM-PER-L,14.78436034,all,0.138563098
7/10/06,Mendota,tp,MilliGM-PER-L,14.78436034,epi,0.106633281
7/10/06,Mendota,tp,MilliGM-PER-L,14.78436034,hypo,0.278948882
8/7/06,Mendota,tp,MilliGM-PER-L,14.97765396,all,0.153821016
8/7/06,Mendota,tp,MilliGM-PER-L,14.97765396,epi,0.087226596
8/7/06,Mendota,tp,MilliGM-PER-L,14.97765396,hypo,0.446616613
8/21/06,Mendota,tp,MilliGM-PER-L,15.58979435,all,0.019637395
8/21/06,Mendota,tp,MilliGM-PER-L,15.58979435,epi,0.019573121
8/21/06,Mendota,tp,MilliGM-PER-L,15.58979435,hypo,0.02
9/6/06,Mendota,tp,MilliGM-PER-L,15.90404835,all,0.163833251
9/6/06,Mendota,tp,MilliGM-PER-L,15.90404835,epi,0.092259612
9/6/06,Mendota,tp,MilliGM-PER-L,15.90404835,hypo,0.567619266
10/2/06,Mendota,tp,MilliGM-PER-L,17.5,all,0.251896547
10/2/06,Mendota,tp,MilliGM-PER-L,17.5,epi,0.219334176
10/2/06,Mendota,tp,MilliGM-PER-L,17.5,hypo,0.588483641
10/30/06,Mendota,tp,MilliGM-PER-L,17.5,all,0.146073064
10/30/06,Mendota,tp,MilliGM-PER-L,17.5,epi,0.146699748
10/30/06,Mendota,tp,MilliGM-PER-L,17.5,hypo,0.139595218
11/27/06,Mendota,tp,MilliGM-PER-L,0,all,0.130598964
1/3/07,Mendota,tp,MilliGM-PER-L,0,all,0.130452985
2/19/07,Mendota,tp,MilliGM-PER-L,0,all,0.128696399
4/16/07,Mendota,tp,MilliGM-PER-L,0,all,0.122062111
5/14/07,Mendota,tp,MilliGM-PER-L,13.23290853,all,0.088051307
5/14/07,Mendota,tp,MilliGM-PER-L,13.23290853,epi,0.084605701
5/14/07,Mendota,tp,MilliGM-PER-L,13.23290853,hypo,0.100153885
6/11/07,Mendota,tp,MilliGM-PER-L,16.67879814,all,0.105318056
6/11/07,Mendota,tp,MilliGM-PER-L,16.67879814,epi,0.090883798
6/11/07,Mendota,tp,MilliGM-PER-L,16.67879814,hypo,0.212996661
6/25/07,Mendota,tp,MilliGM-PER-L,16.08285467,all,0.053082141
6/25/07,Mendota,tp,MilliGM-PER-L,16.08285467,epi,0.0534953
6/25/07,Mendota,tp,MilliGM-PER-L,16.08285467,hypo,0.05
7/9/07,Mendota,tp,MilliGM-PER-L,14.74203309,all,0.109862901
7/9/07,Mendota,tp,MilliGM-PER-L,14.74203309,epi,0.067682148
7/9/07,Mendota,tp,MilliGM-PER-L,14.74203309,hypo,0.295318956
7/23/07,Mendota,tp,MilliGM-PER-L,16.22588825,all,0.031
7/23/07,Mendota,tp,MilliGM-PER-L,16.22588825,epi,0.031
7/23/07,Mendota,tp,MilliGM-PER-L,16.22588825,hypo,0.031
8/6/07,Mendota,tp,MilliGM-PER-L,15.02443401,all,0.140875777
8/6/07,Mendota,tp,MilliGM-PER-L,15.02443401,epi,0.082708212
8/6/07,Mendota,tp,MilliGM-PER-L,15.02443401,hypo,0.469030799
9/4/07,Mendota,tp,MilliGM-PER-L,15.77517566,all,0.145758115
9/4/07,Mendota,tp,MilliGM-PER-L,15.77517566,epi,0.077700488
9/4/07,Mendota,tp,MilliGM-PER-L,15.77517566,hypo,0.529708388
10/1/07,Mendota,tp,MilliGM-PER-L,17.5,all,0.249156339
10/1/07,Mendota,tp,MilliGM-PER-L,17.5,epi,0.210101301
10/1/07,Mendota,tp,MilliGM-PER-L,17.5,hypo,0.652856124
10/29/07,Mendota,tp,MilliGM-PER-L,17.5,all,0.143093981
10/29/07,Mendota,tp,MilliGM-PER-L,17.5,epi,0.143560613
10/29/07,Mendota,tp,MilliGM-PER-L,17.5,hypo,0.138270554
11/26/07,Mendota,tp,MilliGM-PER-L,0,all,0.145433794
2/13/08,Mendota,tp,MilliGM-PER-L,0,all,0.148318451
4/14/08,Mendota,tp,MilliGM-PER-L,0,all,0.136301381
4/28/08,Mendota,tp,MilliGM-PER-L,0,all,0.038824371
5/12/08,Mendota,tp,MilliGM-PER-L,13.1231962,all,0.057376369
5/12/08,Mendota,tp,MilliGM-PER-L,13.1231962,epi,0.053517857
5/12/08,Mendota,tp,MilliGM-PER-L,13.1231962,hypo,0.070929263
6/9/08,Mendota,tp,MilliGM-PER-L,13.50334661,all,0.098413271
6/9/08,Mendota,tp,MilliGM-PER-L,13.50334661,epi,0.08276087
6/9/08,Mendota,tp,MilliGM-PER-L,13.50334661,hypo,0.153391808
7/7/08,Mendota,tp,MilliGM-PER-L,15.71927267,all,0.145311692
7/7/08,Mendota,tp,MilliGM-PER-L,15.71927267,epi,0.12009734
7/7/08,Mendota,tp,MilliGM-PER-L,15.71927267,hypo,0.287559633
8/4/08,Mendota,tp,MilliGM-PER-L,14.71251055,all,0.16370518
8/4/08,Mendota,tp,MilliGM-PER-L,14.71251055,epi,0.097313552
8/4/08,Mendota,tp,MilliGM-PER-L,14.71251055,hypo,0.455609159
9/5/08,Mendota,tp,MilliGM-PER-L,16.2779584,all,0.164247558
9/5/08,Mendota,tp,MilliGM-PER-L,16.2779584,epi,0.104671702
9/5/08,Mendota,tp,MilliGM-PER-L,16.2779584,hypo,0.608679466
9/29/08,Mendota,tp,MilliGM-PER-L,16.65036431,all,0.23203626
9/29/08,Mendota,tp,MilliGM-PER-L,16.65036431,epi,0.181367
9/29/08,Mendota,tp,MilliGM-PER-L,16.65036431,hypo,0.610025563
10/29/08,Mendota,tp,MilliGM-PER-L,17.5,all,0.148832412
10/29/08,Mendota,tp,MilliGM-PER-L,17.5,epi,0.149786143
10/29/08,Mendota,tp,MilliGM-PER-L,17.5,hypo,0.138973993
1/21/09,Mendota,tp,MilliGM-PER-L,0,all,0.139664184
4/15/09,Mendota,tp,MilliGM-PER-L,0,all,0.157657622
5/11/09,Mendota,tp,MilliGM-PER-L,13.68054077,all,0.128377553
5/11/09,Mendota,tp,MilliGM-PER-L,13.68054077,epi,0.125693561
5/11/09,Mendota,tp,MilliGM-PER-L,13.68054077,hypo,0.137804987
6/9/09,Mendota,tp,MilliGM-PER-L,15.27948733,all,0.120698224
6/9/09,Mendota,tp,MilliGM-PER-L,15.27948733,epi,0.113975549
6/9/09,Mendota,tp,MilliGM-PER-L,15.27948733,hypo,0.158624509
7/6/09,Mendota,tp,MilliGM-PER-L,15.23291093,all,0.154010557
7/6/09,Mendota,tp,MilliGM-PER-L,15.23291093,epi,0.131609711
7/6/09,Mendota,tp,MilliGM-PER-L,15.23291093,hypo,0.280385976
8/5/09,Mendota,tp,MilliGM-PER-L,15.97862014,all,0.153520375
8/5/09,Mendota,tp,MilliGM-PER-L,15.97862014,epi,0.107515507
8/5/09,Mendota,tp,MilliGM-PER-L,15.97862014,hypo,0.413058978
9/2/09,Mendota,tp,MilliGM-PER-L,17.5,all,0.136446473
9/2/09,Mendota,tp,MilliGM-PER-L,17.5,epi,0.104912455
9/2/09,Mendota,tp,MilliGM-PER-L,17.5,hypo,0.462403803
9/30/09,Mendota,tp,MilliGM-PER-L,17.5,all,0.236259151
